T, m_real, m_imag, m2, m4
0.001, -5e-06, -8.66025e-06, 1, 1
0.101, -5e-06, 8.66025e-06, 1, 1
0.201, 1e-05, 1.11021e-16, 1, 1
0.301, -4.76563e-06, -9.0662e-06, 0.999984, 0.999969
0.401, 2.26562e-06, -2.99049e-05, 0.999676, 0.999367
0.501, -0.000108125, 4.84433e-05, 0.99779, 0.995695
0.601, 9.55469e-05, 8.86323e-05, 0.990783, 0.982169
0.701, 0.000254687, 4.35719e-05, 0.973054, 0.948637
0.801, 0.000127656, -0.000195126, 0.932367, 0.87527
0.901, 0.000839453, -0.00136954, 0.843895, 0.732317
1.001, -0.000237031, 0.00026522, 0.624988, 0.453128
1.101, -0.000168125, 0.00170039, 0.330859, 0.168874
1.201, 0.000331562, 0.00120405, 0.172882, 0.0556586
1.301, 0.000304609, 0.00156169, 0.112743, 0.0250039
1.401, -0.000642734, -0.00129241, 0.0835741, 0.0138494
1.501, 0.00116711, -0.00197954, 0.0688562, 0.00933202
1.601, 0.00120414, 0.00278711, 0.0580381, 0.0066664
1.701, 0.000777812, 0.000827325, 0.0508507, 0.00510002
1.801, -0.00197211, -0.00157603, 0.0455093, 0.0040676
1.901, -0.00277789, 0.000535447, 0.0429805, 0.00364902
2.001, -0.000848047, -0.00308589, 0.0389998, 0.00303059
2.101, -0.000174219, 0.00295315, 0.0372304, 0.00278658
2.201, 0.000781094, 0.00201107, 0.0349913, 0.0024282
2.301, -0.00128891, -0.00090635, 0.0342015, 0.00230074
2.401, 0.00297016, -0.00090662, 0.0319482, 0.00204012
2.501, 0.00031, 0.00133801, 0.0301798, 0.00181554
2.601, -0.000678125, -0.00112042, 0.0295342, 0.00173507
2.701, -0.00411078, -0.00184112, 0.028945, 0.00161932
2.801, 9.90625e-05, 0.000864131, 0.0280525, 0.00156864
2.901, 0.000998828, 0.000581455, 0.0276944, 0.0015096
3.001, -0.00278469, 0.0010119, 0.0271086, 0.00145592
3.101, -0.000265625, -0.00100567, 0.0266894, 0.00140959
3.201, -0.000391953, 0.00179362, 0.0256646, 0.00131659
3.301, -0.000669688, 0.00150337, 0.0255436, 0.00127876
3.401, 0.000214609, 0.000911356, 0.0240972, 0.00114217
3.501, -0.000359375, -0.00177968, 0.0241627, 0.00115004
3.601, -0.000787109, -0.00369942, 0.0240869, 0.00115204
3.701, -0.00262414, 0.00117549, 0.0235615, 0.00110112
3.801, -0.000150547, 0.000655608, 0.0231113, 0.0010751
3.901, 0.00237859, -8.79557e-05, 0.0233038, 0.00110003
4.001, 0.00440195, 0.00106995, 0.0235211, 0.00110494
4.101, -0.000324688, -0.000495529, 0.0228058, 0.00102574
4.201, -0.000558828, -0.00267291, 0.0223986, 0.000989347
4.301, -0.000297031, 0.00235884, 0.0220277, 0.000964176
4.401, 0.00213531, -0.000173205, 0.0218818, 0.000932637
4.501, 0.00103305, -0.00183421, 0.0218478, 0.000940209
4.601, -0.00353047, -0.000661156, 0.0216543, 0.000916041
4.701, -0.00195758, -0.00119498, 0.0220549, 0.000963642
4.801, 0.00092875, 0.00152366, 0.0214968, 0.000905132
4.901, 0.000934141, -0.00341877, 0.0207252, 0.000844896
