T, m_real, m_imag, m2, m4
0.99, 0.00151094, -0.000305003, 0.657165, 0.489529
0.9902, 0.000297344, 0.00126575, 0.658443, 0.490875
0.9904, -0.000576875, 0.0016625, 0.656072, 0.487965
0.9906, 0.000334609, 0.000345192, 0.656083, 0.488916
0.9908, 0.00122922, -0.000769409, 0.658347, 0.490001
0.991, -0.000463203, -0.00277764, 0.653369, 0.485439
0.9912, 0.000214844, -0.00124221, 0.653168, 0.484839
0.9914, -0.00111711, 0.000249118, 0.655258, 0.48684
0.9916, 0.000227969, -0.00130824, 0.653114, 0.484273
0.9918, -5.39844e-05, -0.000584161, 0.65289, 0.48485
0.992, -0.00118156, 0.000993223, 0.653494, 0.484792
0.9922, 0.000702344, 0.00140675, 0.646891, 0.478273
0.9924, 0.000519766, -0.00079336, 0.655191, 0.486378
0.9926, 0.000383125, -0.00032909, 0.650913, 0.482215
0.9928, -0.000942031, -0.00140892, 0.648684, 0.479777
0.993, 0.00183016, -0.000973737, 0.653351, 0.48473
0.9932, 0.000296406, 0.000737204, 0.648577, 0.479509
0.9934, -0.000835391, -0.00209267, 0.64655, 0.478148
0.9936, -1.01563e-05, -2.05681e-05, 0.648181, 0.479136
0.9938, -0.000176797, 7.72657e-05, 0.651768, 0.483507
0.994, -0.00106695, 0.00142421, 0.645258, 0.476187
0.9942, 0.00277141, 0.00172068, 0.653976, 0.484528
0.9944, -0.000114688, -0.000677665, 0.64496, 0.47516
0.9946, -0.000453359, -0.000595798, 0.643627, 0.473866
0.9948, 4.46875e-05, -0.000345598, 0.646977, 0.477447
0.995, -0.00117172, 0.000787001, 0.646513, 0.477147
0.9952, 0.000272031, 4.5737e-05, 0.646501, 0.476619
0.9954, -0.000389844, -0.000361024, 0.643865, 0.474157
0.9956, 0.00104219, -0.000855471, 0.643289, 0.473779
0.9958, 0.000789062, 0.00084221, 0.641928, 0.471905
0.996, 0.000687109, -0.00178144, 0.640481, 0.47019
0.9962, 0.000791875, -0.00164193, 0.639865, 0.469415
0.9964, -0.000130859, -0.000914333, 0.639539, 0.468846
0.9966, -4.27344e-05, -0.000632334, 0.636621, 0.466469
0.9968, -0.000466484, -0.00033978, 0.6356, 0.4647
0.997, -0.000510781, 0.0014514, 0.639562, 0.469053
0.9972, -0.000625391, 0.00193327, 0.634938, 0.464108
0.9974, 0.000657109, -6.91467e-05, 0.636548, 0.46579
0.9976, 0.000583281, 0.000338562, 0.636812, 0.465681
0.9978, -0.000859766, 0.00205559, 0.63668, 0.465353
0.998, -0.000899141, -0.00069918, 0.631469, 0.46024
0.9982, -6.96875e-05, 0.00125926, 0.637342, 0.466176
0.9984, -0.000192734, -0.000702698, 0.635763, 0.464686
0.9986, 8.57031e-05, -0.00104748, 0.636868, 0.4658
0.9988, 0.000509219, 0.000270633, 0.634868, 0.463436
0.999, -0.000413281, -0.000575095, 0.634138, 0.462553
0.9992, -0.000356094, -0.000685513, 0.630322, 0.459449
0.9994, -0.000224375, -0.000708788, 0.6281, 0.456222
0.9996, -0.00130273, 0.000240728, 0.63638, 0.464715
0.9998, 0.000206172, 0.000938149, 0.627692, 0.456486
1, 0.00136422, -0.000848434, 0.629565, 0.457824
