T, m_real, m_imag, m2, m4
0.8, -0.000374961, -0.000312716, 0.932663, 0.871373
0.808, 0.000569277, 2.05343e-05, 0.927548, 0.862003
0.816, 0.000570508, 7.59125e-05, 0.922202, 0.852312
0.824, 0.000901035, 0.000651853, 0.916771, 0.842536
0.832, -0.000132031, -3.66031e-05, 0.910939, 0.832097
0.84, -0.000113398, -5.3247e-05, 0.904227, 0.820198
0.848, -0.000235801, -0.000132915, 0.897584, 0.80856
0.856, 0.000179922, 0.000483012, 0.890568, 0.796288
0.864, -0.00064625, -0.000508993, 0.882095, 0.781698
0.872, -0.000382168, 0.000788726, 0.873776, 0.767473
0.88, 0.000612168, 0.000997181, 0.86517, 0.752953
0.888, 0.000294824, 9.7597e-05, 0.855581, 0.73708
0.896, 0.000259492, -7.9972e-05, 0.844795, 0.719363
0.904, 0.00117994, 5.77463e-05, 0.833628, 0.701693
0.912, -0.000470586, -5.41266e-05, 0.820934, 0.681452
0.92, 0.000216777, -0.000688998, 0.805804, 0.658058
0.928, -0.000607988, -0.00100598, 0.79164, 0.636935
0.936, 0.000156191, 0.000586901, 0.77261, 0.609516
0.944, -0.00140205, 0.000303955, 0.752309, 0.580869
0.952, 0.000587852, -0.000462376, 0.730908, 0.551969
0.96, 0.000166797, 0.00135959, 0.70532, 0.519147
0.968, -0.00033752, -0.00027635, 0.675603, 0.482124
0.976, -0.000126172, -0.00101535, 0.635872, 0.43649
0.984, 0.000410781, 0.000811561, 0.59947, 0.397776
0.992, -0.00033043, 0.000242893, 0.559671, 0.35545
1, -0.000971211, 0.000124694, 0.511653, 0.309036
1.008, 0.00043709, -2.59469e-05, 0.454822, 0.258578
1.016, -0.000390605, 0.000230072, 0.404697, 0.215938
1.024, 0.000629043, 0.00145489, 0.363257, 0.182129
1.032, -0.0010734, 0.000307845, 0.306138, 0.139292
1.04, 0.00103486, 0.000498337, 0.260358, 0.108106
1.048, 0.000302734, 0.00127691, 0.228692, 0.0873346
1.056, -0.000881973, 0.000283995, 0.191544, 0.065255
1.064, 0.00111584, 0.00105246, 0.167172, 0.0512986
1.072, 0.000253105, 0.00223634, 0.148553, 0.0418628
1.08, 0.00344354, -0.00055659, 0.1303, 0.0332655
1.088, 0.000133926, -0.00109786, 0.118839, 0.0277667
1.096, 0.00113365, -0.000889063, 0.103292, 0.0212503
1.104, 0.00118838, -0.00109772, 0.0947267, 0.0182731
1.112, 0.000831367, 0.00300227, 0.086518, 0.0152029
1.12, 0.000246133, 3.03109e-05, 0.0791466, 0.0126629
1.128, 0.00293195, 0.000792887, 0.0746368, 0.0113656
1.136, -0.00315547, -0.000590859, 0.069247, 0.00979365
1.144, 0.00166639, -0.000390828, 0.0627548, 0.00807142
1.152, -0.0013349, 0.000675737, 0.0595152, 0.00726023
1.16, 0.000987051, -0.000982837, 0.0568571, 0.006584
1.168, -0.00137264, 0.000848806, 0.0520595, 0.0054415
1.176, -0.00188627, -0.00017148, 0.0502848, 0.00507569
1.184, -0.000463906, -0.00163949, 0.0470379, 0.00447341
1.192, 0.00260348, -0.000530035, 0.045192, 0.00410346
1.2, -0.0004025, -0.000749247, 0.0438221, 0.00384729
