T, m_real, m_imag, m2, m4
0.99, 4.99023e-06, -0.000223103, 0.504566, 0.281821
0.9902, 0.00108254, 0.00075455, 0.505826, 0.283305
0.9904, -0.000324146, -0.00097016, 0.501543, 0.279948
0.9906, 8.40918e-05, 0.000123324, 0.495783, 0.275141
0.9908, -3.58203e-05, -0.000776429, 0.496384, 0.274876
0.991, 0.00096688, 0.000190923, 0.494061, 0.27345
0.9912, -0.00197183, 0.00155982, 0.494237, 0.272868
0.9914, -0.000421528, 0.000598513, 0.485705, 0.2661
0.9916, 0.000478633, 0.000514067, 0.489609, 0.269075
0.9918, -0.00189772, -0.000459569, 0.48623, 0.265695
0.992, 0.000229932, 0.00183061, 0.479291, 0.260129
0.9922, 0.000767148, 0.00170996, 0.480192, 0.260367
0.9924, -0.000146548, -0.00173219, 0.477114, 0.258295
0.9926, 0.00194753, -0.000339061, 0.476626, 0.257951
0.9928, 0.000428462, -0.00182221, 0.47301, 0.254413
0.993, 0.00172176, 0.00111526, 0.470288, 0.252631
0.9932, 0.000628062, -0.00060873, 0.470164, 0.252097
0.9934, -0.000557539, 0.000481185, 0.474717, 0.255568
0.9936, -5.49365e-05, -0.000280824, 0.46142, 0.245219
0.9938, -0.000198184, -8.11222e-05, 0.461671, 0.245274
0.994, -0.000607637, -1.59335e-05, 0.461633, 0.245519
0.9942, -0.00143045, -0.00100522, 0.451557, 0.236952
0.9944, 7.42334e-05, 0.00158357, 0.456375, 0.241191
0.9946, 0.00104159, -0.00158338, 0.452005, 0.237006
0.9948, 5.75635e-05, -0.000563686, 0.444956, 0.23144
0.995, -0.00118776, -0.000136594, 0.453028, 0.237723
0.9952, 0.000721855, -0.00147262, 0.448466, 0.234099
0.9954, -0.00189736, -0.000222756, 0.441636, 0.228346
0.9956, -0.000995234, 0.000246783, 0.44288, 0.230234
0.9958, 0.000619155, -0.00120001, 0.439832, 0.227278
0.996, -0.000152935, -0.000480788, 0.440842, 0.227797
0.9962, -0.000954512, 8.53509e-05, 0.434811, 0.223736
0.9964, -0.00197926, 0.00210718, 0.43037, 0.220157
0.9966, -0.00178399, -0.000427532, 0.430812, 0.220326
0.9968, -0.00015541, -0.000619682, 0.422308, 0.21372
0.997, -0.0023981, -0.000762432, 0.423386, 0.214161
0.9972, 0.000116816, 0.00114904, 0.421286, 0.213106
0.9974, 0.000363437, -0.00062523, 0.41813, 0.209602
0.9976, -0.00135162, -0.000894027, 0.418207, 0.209714
0.9978, 0.00153556, 0.00018392, 0.408247, 0.202368
0.998, 0.00162052, 0.000456871, 0.410029, 0.203713
0.9982, 0.000964521, -0.000582419, 0.40865, 0.20293
0.9984, -0.000459922, -0.000289019, 0.409259, 0.203341
0.9986, 0.000495522, 0.000154794, 0.39909, 0.195966
0.9988, 0.00062207, 0.000713152, 0.401405, 0.196846
0.999, 0.000220439, -0.00285239, 0.39612, 0.192949
0.9992, 0.000646958, -0.000600695, 0.399583, 0.1956
0.9994, 0.000194424, 0.00196721, 0.393905, 0.191526
0.9996, 0.000870698, -1.18994e-05, 0.385896, 0.185139
0.9998, 0.00278636, -0.00177343, 0.392084, 0.190134
1, -0.000544209, 0.000287361, 0.391835, 0.188666
