T, m_real, m_imag, m2, m4
0.8, -0.000250669, -0.000273703, 0.931929, 0.868882
0.808, 0.000596494, 0.000133422, 0.926879, 0.859536
0.816, 0.000648877, 0.00144919, 0.921862, 0.850305
0.824, 0.000311553, -0.000237633, 0.916069, 0.839704
0.832, 0.000632808, 0.000209766, 0.910378, 0.829377
0.84, -0.000176182, -0.000977374, 0.903809, 0.817529
0.848, 0.000707222, -0.000647819, 0.896919, 0.805193
0.856, -0.000885166, 0.000589997, 0.88977, 0.792497
0.864, 0.000216836, 0.00010027, 0.881656, 0.778242
0.872, 0.000392603, 0.000630363, 0.873048, 0.763242
0.88, 0.000172363, -3.53514e-06, 0.863605, 0.747002
0.888, -0.00055335, -0.00134258, 0.85426, 0.731105
0.896, 0.00163136, -0.000428217, 0.843564, 0.713133
0.904, 0.000616533, -0.000393669, 0.8311, 0.692517
0.912, 0.00123332, -0.00018584, 0.818396, 0.671815
0.92, -8.80859e-06, 0.000151707, 0.80336, 0.647832
0.928, -0.00195389, 0.00110669, 0.7874, 0.62287
0.936, 0.00011853, 0.000372974, 0.769056, 0.595029
0.944, 0.000908066, -0.00104062, 0.748159, 0.564135
0.952, -0.00104974, -0.00105226, 0.725463, 0.531768
0.96, -0.000973818, 0.000560904, 0.698048, 0.494338
0.968, 0.000244902, 0.000221006, 0.663085, 0.449564
0.976, -0.000429204, -0.00157442, 0.618622, 0.396884
0.984, -1.4917e-05, -0.000847276, 0.559886, 0.334236
0.992, 0.000271167, 0.000727081, 0.485068, 0.265196
1, -0.00055231, 0.00113286, 0.390747, 0.188973
1.008, 0.00109781, 0.000874018, 0.285317, 0.116507
1.016, -0.000961865, -0.000290846, 0.196885, 0.0646499
1.024, -0.000676909, -0.000592525, 0.137472, 0.0353613
1.032, -0.00116012, -0.000272781, 0.101316, 0.0206298
1.04, -0.000537808, -0.000219864, 0.0777383, 0.0124589
1.048, -0.00162115, -0.000480128, 0.0606258, 0.00764833
1.056, 0.00174467, -0.000223238, 0.0498919, 0.00508836
1.064, -0.00194938, 0.000266167, 0.0423539, 0.00373777
1.072, 0.00279515, 0.00223865, 0.0369703, 0.00281886
1.08, 0.000363481, -0.00219581, 0.0324644, 0.00219744
1.088, 0.00115044, -0.000366995, 0.0285258, 0.00169237
1.096, -0.000428384, -0.00082417, 0.0259273, 0.00136609
1.104, -0.000614053, 0.000572135, 0.0237525, 0.00117376
1.112, 0.00110499, 0.0010386, 0.0214935, 0.000948519
1.12, -0.00196726, 0.000827824, 0.0193504, 0.000765376
1.128, 0.000866538, -0.000549715, 0.0182542, 0.000666895
1.136, -0.00314634, 0.00160618, 0.0170979, 0.000607318
1.144, 0.00187787, 0.000699578, 0.0159475, 0.000512234
1.152, 0.00077043, 0.000316015, 0.0147842, 0.000441485
1.16, -0.00384866, -0.00206429, 0.014091, 0.000399569
1.168, 0.000633892, -0.000380738, 0.0133012, 0.000360361
1.176, -0.0011774, 6.69309e-05, 0.0127237, 0.000318767
1.184, -0.000113354, -0.00298952, 0.0123179, 0.000310164
1.192, -0.000313613, -0.000794139, 0.0114683, 0.000264849
1.2, -0.000182144, -0.00220294, 0.0105974, 0.000225207
