m0r_re, m0r_im, m0mr_re, m0mr_im
1, 0, 1.21633e-05, 0
0.68962, -0.00348142, -4.328e-06, 6.92231e-06
0.47284, -0.00166277, -1.085e-07, 1.00307e-05
0.32182, -5.19615e-05, 9.21985e-06, 3.95869e-06
0.22282, -0.00271932, 2.06145e-05, 1.47216e-06
0.15877, -0.00148956, 1.91886e-05, 3.76349e-06
0.126055, -0.00172339, 2.60518e-05, 5.62397e-07
0.102055, -0.00149822, 1.01238e-05, -1.60924e-05
0.09529, -0.000571577, 2.39217e-05, -2.8008e-05
0.10309, 0.00206114, 1.79362e-05, -1.20381e-05
0.1237, 0.00124708, 9.57415e-06, 8.53988e-07
0.1654, -0.000138564, 1.68673e-05, -1.62466e-05
0.2308, -0.00431281, 1.31683e-05, 2.90985e-07
0.32764, -0.0020265, 7.01485e-06, -4.22629e-06
0.46891, -0.000536936, 1.42732e-05, -1.97019e-05
0.68077, -0.00136832, 4.6504e-06, 9.01879e-06
